Year,Rank,Company,Ticker,MarketCap_BillionsUSD,ticker,sector,displayName
2013,20,VERIZON COMMUNICATIONS INC.,VZ,140.64,VZ,Communication Services,VERIZON COMMS INC.
2014,1,APPLE INC.,AAPL,643.12,AAPL,Information Technology,APPLE INC.
2014,2,EXXON MOBIL CORPORATION,XOM,388.38,XOM,Energy,EXXON MOBIL CORP
2014,3,MICROSOFT CORPORATION,MSFT,381.73,MSFT,Information Technology,MICROSOFT CORP
2014,4,BERKSHIRE HATHAWAY INC.,BRK.A,370.02,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2014,5,ALPHABET INC.,GOOG,361.44,GOOG,Communication Services,ALPHABET INC.
2014,6,JOHNSON & JOHNSON,JNJ,291.04,JNJ,Health Care,JOHNSON & JOHNSON
2014,7,WELLS FARGO & COMPANY,WFC,283.44,WFC,Financials,WELLS FARGO & COMPANY
2014,8,WALMART INC.,WMT,276.81,WMT,Consumer Staples,WALMART INC.
2014,9,THE PROCTER & GAMBLE COMPANY,PG,245.99,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2014,10,JPMORGAN CHASE & CO.,JPM,232.47,JPM,Financials,JPMORGAN CHASE & CO.
2014,11,"Meta Platforms, Inc.",META,216.74,META,Communication Services,"Meta Platforms, Inc."
2014,12,CHEVRON CORPORATION,CVX,210.86,CVX,Energy,CHEVRON CORP
2014,13,ORACLE CORPORATION,ORCL,197.48,ORCL,Information Technology,ORACLE CORP
2014,14,VERIZON COMMUNICATIONS INC.,VZ,194.37,VZ,Communication Services,VERIZON COMMS INC.
2014,15,BANK OF AMERICA CORPORATION,BAC,188.14,BAC,Financials,BANK OF AMERICA CORP
2014,16,PFIZER INC.,PFE,185.64,PFE,Health Care,PFIZER INC.
2014,17,THE COCA-COLA COMPANY,KO,184.33,KO,Consumer Staples,THE COCA-COLA COMPANY
2014,18,INTEL CORPORATION,INTC,172.3,INTC,Information Technology,INTEL CORP
2014,19,CITIGROUP INC.,C,163.62,C,Financials,CITIGROUP INC.
2014,20,VISA INC.,V,160.82,V,Financials,VISA INC.
2015,1,APPLE INC.,AAPL,583.61,AAPL,Information Technology,APPLE INC.
2015,2,ALPHABET INC.,GOOG,534.76,GOOG,Communication Services,ALPHABET INC.
2015,3,MICROSOFT CORPORATION,MSFT,439.68,MSFT,Information Technology,MICROSOFT CORP
2015,4,BERKSHIRE HATHAWAY INC.,BRK.A,325.49,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2015,5,EXXON MOBIL CORPORATION,XOM,323.96,XOM,Energy,EXXON MOBIL CORP
2015,6,"AMAZON.COM, INC.",AMZN,318.34,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2015,7,"Meta Platforms, Inc.",META,296.61,META,Communication Services,"Meta Platforms, Inc."
2015,8,JOHNSON & JOHNSON,JNJ,284.22,JNJ,Health Care,JOHNSON & JOHNSON
2015,9,WELLS FARGO & COMPANY,WFC,276.81,WFC,Financials,WELLS FARGO & COMPANY
2015,10,JPMORGAN CHASE & CO.,JPM,241.9,JPM,Financials,JPMORGAN CHASE & CO.
2015,11,THE PROCTER & GAMBLE COMPANY,PG,214.77,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2015,12,WALMART INC.,WMT,196.28,WMT,Consumer Staples,WALMART INC.
